key,value
1 ano,1
1 ANO,1
1 ano de estudo,1
10 anos,10
10 anos de estudo,10
11 anos,11
11 anos de estudo,11
12 A 17 ANOS,14.5
12 anos,12
12 anos de estudo,12
12 ANOS E MAIS,12
12 ANOS OU MAIS,12
12ANOS OU MAIS,12
13 anos,13
13 anos de estudo,13
14 anos,14
14 anos de estudo,14
15 anos de estudo,15
15 anos ou mais,15
16 anos ou mais de estudo,16
2 anos,2
2 ANOS,2
2 anos de estudo,2
3 anos,3
3 ANOS,3
3 anos de estudo,3
4 anos,4
4 ANOS,4
4 anos de estudo,4
5 anos,5
5 ANOS,5
5 anos de estudo,5
6 anos,6
6 ANOS,6
6 anos de estudo,6
7 anos,7
7 ANOS,7
7 anos de estudo,7
8 anos,8
8 ANOS,8
8 anos de estudo,8
9 A 11 ANOS,10
9 anos,9
9 anos de estudo,9
ANOS NÃO DETERMINADOS,
DE 12 A 17 ANOS,14.5
DE 12 ANOS OU MAIS,12
DE 9 A 11 ANOS,10
MENOS DE 5 ANOS,
NAO DETERMINADO,
NÃO DETERMINADO,
NAO DETERMINADOS,
NÃO DETERMINADOS,
Não determinados ,
Não-determinados e sem declaração,
PREJUDICADO,
SEM DECLARACAO,
SEM DECLARAÇÃO,
SEM INST/MENOS 1,0
SEM INSTRUÇAO E MENOS DE 1 ANO,0
Sem instrução e menos de 1 ano,0
SEM INSTRUÇÃO E MENOS DE 1 ANO,0
Sem instrução e menos de 1 ano de estudo,0
SEM INSTRUÇÃO E/OU MENOS DE 1 ANO,0
SEM INSTRUÇÃO OU MENOR DE 1 ANO,0
SEM INSTRUÇAO OU MENOS 1 DE ANO,0
SEM INSTRUÇÃO OU MENOS DE 1 ANO,0
SEM INSTRUÇÃO OU SEM DECLARAÇÃO,0
SEM INSTRUÇÃO/MENOS DE 1 ANO,0
