VARI,NOME,DESDE,TAM,F,CATEG,quesito,categorias,categorias_dict
V2,"REGIÃO GEOGRAFICA
1- REGIÃO I – RJ
2- REGIÃO II – SP
3- REGIÃO III – PR, SC E RS
4- REGIÃO IV – MG E ES
5- REGIÃO V - MA, PI, CE, N, PR, AL, SE E BA
6- REGIÃO VI – DF
7- REGIÃO VII - RO, AC, AM, RR, PA, MT E GO",1,1,N,7,REGIÃO GEOGRAFICA,"1- REGIÃO I – RJ
2- REGIÃO II – SP
3- REGIÃO III – PR, SC E RS
4- REGIÃO IV – MG E ES
5- REGIÃO V - MA, PI, CE, N, PR, AL, SE E BA
6- REGIÃO VI – DF
7- REGIÃO VII - RO, AC, AM, RR, PA, MT E GO","{1: 'REGIÃO I – RJ', 2: 'REGIÃO II – SP', 3: 'REGIÃO III – PR, SC E RS', 4: 'REGIÃO IV – MG E ES', 5: 'REGIÃO V – MA, PI, CE, N, PR, AL, SE E BA', 6: 'REGIÃO VI – DF', 7: 'REGIÃO VII – RO, AC, AM, RR, PA, MT E GO'}"
V3,"UNIDADE DA FEDERAÇÃO
VER VARIAVEIS AUXILIARES",1,2,N,25,UNIDADE DA FEDERAÇÃO,VER VARIAVEIS AUXILIARES,"{'11': 'RIO DE JANEIRO', '21': 'SÃO PAULO', '31': 'PARANA', '32': 'SANTA CATARINA', '33': 'RIO GRANDE DO SUL', '41': 'MINAS GERAIS', '43': 'ESPIRITO SANTO', '51': 'MARANHÃO', '52': 'PIAUI', '53': 'CEARA', '54': 'RIO GRANDE DO NORTE', '55': 'PARAIBA', '56': 'PERNAMBUCO', '57': 'ALAGOAS', '58': 'SERGIPE', '59': 'BAHIA', '61': 'DISTRITO FEDERAL', '71': 'RONDONIA', '72': 'ACRE', '73': 'AMAZONAS', '74': 'RORAIMA', '75': 'PARA', '76': 'AMAPA', '77': 'MATO GROSSO', '78': 'GOIAS'}"
V1,RESTRITO,1,10,N,,RESTRITO,,
V91,"TIPO DE REGISTRO
1- DOMICILIOS
2- PESSOAS",11,1,N,2,TIPO DE REGISTRO,"1- DOMICILIOS
2- PESSOAS","{1: 'DOMICILIOS', 2: 'PESSOAS'}"
V1004,"SITUAÇÃO
1- URBANA
2- RURAL",12,1,N,2,SITUAÇÃO,"1- URBANA
2- RURAL","{1: 'URBANA', 2: 'RURAL'}"
V1007,"TIPO DE ENTREVISTA
- UNIDADE OCUPADA
1- REALIZADA
2- AUSENTE TEMPORARIAMENTE
3- RECUSA
4- OUTROS MOTIVOS
- UNIDADE VAGA
5- EM CONDIÇÕES DE SER HABITADA
6- EM RUINAS
7- EM CONSTRUÇÃO
8- FECHADA OU VERANEIO
- INEXIXTENTE
9- DEMOLIDA
10- NÃO ENCONTRADA
11- NÃO RESIDENCIAL
12- FORA DO SETOR",13,2,N,12,TIPO DE ENTREVISTA,"- UNIDADE OCUPADA
1- REALIZADA
2- AUSENTE TEMPORARIAMENTE
3- RECUSA
4- OUTROS MOTIVOS
- UNIDADE VAGA
5- EM CONDIÇÕES DE SER HABITADA
6- EM RUINAS
7- EM CONSTRUÇÃO
8- FECHADA OU VERANEIO
- INEXIXTENTE
9- DEMOLIDA
10- NÃO ENCONTRADA
11- NÃO RESIDENCIAL
12- FORA DO SETOR","{1: 'UNIDADE OCUPADA – REALIZADA', 2: 'UNIDADE OCUPADA – AUSENTE TEMPORARIAMENTE', 3: 'UNIDADE OCUPADA – RECUSA', 4: 'UNIDADE OCUPADA – OUTROS MOTIVOS', 5: 'UNIDADE VAGA – EM CONDIÇÕES DE SER HABITADA', 6: 'UNIDADE VAGA – EM RUINAS', 7: 'UNIDADE VAGA – EM CONSTRUÇÃO', 8: 'UNIDADE VAGA – FECHADA OU VERANEIO', 9: 'INEXIXTENTE – DEMOLIDA', 10: 'INEXIXTENTE – NÃO ENCONTRADA', 11: 'INEXIXTENTE – NÃO RESIDENCIAL', 12: 'INEXIXTENTE – FORA DO SETOR'}"
V1009,TOTAL DE PESSOAS,15,2,N,,TOTAL DE PESSOAS,,
V1010,TOTAL DE PESSOAS COM MAIS DE 10 ANOS,17,2,N,,TOTAL DE PESSOAS COM MAIS DE 10 ANOS,,
V1401,"CONDIÇÕES DA FAMILIA
 - NÃO APLICAVEL
1- UNICA
2- INDIVIDUAL
3- PRINCIPAL
4- PRIMEIRA SECUNDÁRIA
5- SEGUNDA SECUNDÁRIA",19,1,N,6,CONDIÇÕES DA FAMILIA," - NÃO APLICAVEL
1- UNICA
2- INDIVIDUAL
3- PRINCIPAL
4- PRIMEIRA SECUNDÁRIA
5- SEGUNDA SECUNDÁRIA","{1: 'UNICA', 2: 'INDIVIDUAL', 3: 'PRINCIPAL', 4: 'PRIMEIRA SECUNDÁRIA', 5: 'SEGUNDA SECUNDÁRIA', '': 'NÃO APLICAVEL'}"
V1402,"ESPECIE DO DOMICILIO
 - NÃO APLICAVEL
1- PARTICULAR
2- COLETIVO
3- IMPROVISADO",20,1,N,4,ESPECIE DO DOMICILIO," - NÃO APLICAVEL
1- PARTICULAR
2- COLETIVO
3- IMPROVISADO","{1: 'PARTICULAR', 2: 'COLETIVO', 3: 'IMPROVISADO', '': 'NÃO APLICAVEL'}"
V1043,"PAREDES DO DOMICILIO
 - NÃO APLICAVEL
1- ALVENARIA
2- MADEIRA PREPARADA
3- TAIPA NÃO REVESTIDA
4- PALHA
5- OUTRA",21,1,N,6,PAREDES DO DOMICILIO," - NÃO APLICAVEL
1- ALVENARIA
2- MADEIRA PREPARADA
3- TAIPA NÃO REVESTIDA
4- PALHA
5- OUTRA","{1: 'ALVENARIA', 2: 'MADEIRA PREPARADA', 3: 'TAIPA NÃO REVESTIDA', 4: 'PALHA', 5: 'OUTRA', '': 'NÃO APLICAVEL'}"
V1404,"PISO
 - NÃO APLICAVEL
1- MADEIRA
2- CIMENTO
3- CERAMICA
4- TERRA
5- OUTRA",22,1,N,6,PISO," - NÃO APLICAVEL
1- MADEIRA
2- CIMENTO
3- CERAMICA
4- TERRA
5- OUTRA","{1: 'MADEIRA', 2: 'CIMENTO', 3: 'CERAMICA', 4: 'TERRA', 5: 'OUTRA', '': 'NÃO APLICAVEL'}"
V1405,"MATERIAL QUE PREDOMINA NA COBERTURA (TELHADO)
 - NÃO APLICAVEL
1- LAJE DE CONCRETO
2- TELHA
3- ZINCO
4- PALHA
5- OUTRA",23,1,N,6,MATERIAL QUE PREDOMINA NA COBERTURA (TELHADO)," - NÃO APLICAVEL
1- LAJE DE CONCRETO
2- TELHA
3- ZINCO
4- PALHA
5- OUTRA","{1: 'LAJE DE CONCRETO', 2: 'TELHA', 3: 'ZINCO', 4: 'PALHA', 5: 'OUTRA', '': 'NÃO APLICAVEL'}"
V1406,"CONDIÇÃO DE OCUPAÇÃO
 - NÃO APLICAVEL
1- ACABOU DE PAGAR
2- NÃO ACABOU DE PAGAR
3- ALUGADO
4- CEDIDO
5- OUTRA
9- SEM DECLARAÇÃO",24,1,N,7,CONDIÇÃO DE OCUPAÇÃO," - NÃO APLICAVEL
1- ACABOU DE PAGAR
2- NÃO ACABOU DE PAGAR
3- ALUGADO
4- CEDIDO
5- OUTRA
9- SEM DECLARAÇÃO","{1: 'ACABOU DE PAGAR', 2: 'NÃO ACABOU DE PAGAR', 3: 'ALUGADO', 4: 'CEDIDO', 5: 'OUTRA', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1407,"FORMA DE ABASTECIMENTO DE AGUA
 - NÃO APLICAVEL
1- REDE GERAL COM CANALIZAÇÃO INTERNA
2- POÇO OU NASCENTE COM CANALIZAÇÃO INTERNA
3- REDE GERAL SEM CANALIZAÇÃO INTERNA
4- POÇO OU NASCENTE SEM CANALIZAÇÃO INTERNA
5- OUTRA FORMA DE ABASTECIMENTO
9- SEM DECLARAÇÃO",25,1,N,7,FORMA DE ABASTECIMENTO DE AGUA," - NÃO APLICAVEL
1- REDE GERAL COM CANALIZAÇÃO INTERNA
2- POÇO OU NASCENTE COM CANALIZAÇÃO INTERNA
3- REDE GERAL SEM CANALIZAÇÃO INTERNA
4- POÇO OU NASCENTE SEM CANALIZAÇÃO INTERNA
5- OUTRA FORMA DE ABASTECIMENTO
9- SEM DECLARAÇÃO","{1: 'REDE GERAL COM CANALIZAÇÃO INTERNA', 2: 'POÇO OU NASCENTE COM CANALIZAÇÃO INTERNA', 3: 'REDE GERAL SEM CANALIZAÇÃO INTERNA', 4: 'POÇO OU NASCENTE SEM CANALIZAÇÃO INTERNA', 5: 'OUTRA FORMA DE ABASTECIMENTO', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
V1408,"TIPO DE INSTALAÇÃO SANITARIA
 - NÃO APLICAVEL
1- REDE GERAL
2- FOSSA SEPTICA
3- FOSSA RUDIMENTAR
4- OUTRO TIPO DE INSTALAÇÃO
5- NÃO TÊM INSTALAÇÃO
9- SEM DECLARAÇÃO",26,1,N,7,TIPO DE INSTALAÇÃO SANITARIA," - NÃO APLICAVEL
1- REDE GERAL
2- FOSSA SEPTICA
3- FOSSA RUDIMENTAR
4- OUTRO TIPO DE INSTALAÇÃO
5- NÃO TÊM INSTALAÇÃO
9- SEM DECLARAÇÃO","{1: 'REDE GERAL', 2: 'FOSSA SEPTICA', 3: 'FOSSA RUDIMENTAR', 4: 'OUTRO TIPO DE INSTALAÇÃO', 5: 'NÃO TÊM INSTALAÇÃO', 9: 'SEM DECLARAÇÃO', '': 'NÃO APLICAVEL'}"
