VARI,NOME,DESDE,TAM,CODI,S,F,C,CATEG,RENO,TE,categorias_dict,quesito
V101,NÚMERO DO DOMICÍLIO,1,9,,Z,N,,,,,{},NÚMERO DO DOMICÍLIO
V10,UNIDADE DA FEDERAÇÃO,10,2,,Z,N,,44,,,"{'11': 'RJ', '12': 'RJ', '13': 'RJ', '14': 'RJ', '20': 'SP', '21': 'SP', '22': 'SP', '23': 'SP', '24': 'SP', '25': 'SP', '26': 'SP', '27': 'SP', '28': 'SP', '29': 'SP', '30': 'PR', '31': 'PR', '32': 'SC', '33': 'RS', '34': 'RS', '35': 'RS', '37': 'PR', '41': 'MG', '42': 'MG', '43': 'ES', '51': 'MA', '52': 'PI', '53': 'CE', '54': 'RN', '55': 'PB', '56': 'PE', '57': 'AL', '58': 'SE', '59': 'BA', '60': 'BA', '61': 'DF', '71': 'RO', '72': 'AC', '73': 'AM', '74': 'RR', '75': 'PA', '76': 'AP', '81': 'MS', '82': 'MT', '83': 'GO'}",UNIDADE DA FEDERAÇÃO
V3,SITUAÇÃO,12,1,,,N,,4,,,"{'1': 'URBANA', '5': 'RURAL', '7': 'CONGLOMERADO RURA'}",SITUAÇÃO
V5,TIPO DE ÁREA,13,1,,,N,,3,,,"{'1': 'METROPOLITANA', '2': 'AUTO REPRES.', '3': 'NÃO AUTO REP.'}",TIPO DE ÁREA
V9991,PESO DA PESSOA,14,4,,,N,,,,,{},PESO DA PESSOA
V9981,PESO NOVO DOMIC. CENSO 91,18,4,,,N,,,,,{},PESO NOVO DOMIC. CENSO 91
V9971,PESO NOVO PESSOA CENSO 91,22,4,,,N,,,,,{},PESO NOVO PESSOA CENSO 91
V100,TIPO DE REGISTRO,26,1,,,N,,2,,,"{'1': 'DOMICÍLIOS', '3': 'PESSOAS'}",TIPO DE REGISTRO
V107,TOTAL DE PESSOAS,27,2,,,N,,31,,,"{'1': '1 PESSOA', '2': '2 PESSOAS', '3': '3 PESSOAS', '4': '4 PESSOAS', '5': '5 PESSOAS', '6': '6 PESSOAS', '7': '7 PESSOAS', '8': '8 PESSOAS', '9': '9 PESSOAS', '10': '10 PESSOAS', '11': '11 PESSOAS', '12': '12 PESSOAS', '13': '13 PESSOAS', '14': '14 PESSOAS', '15': '15 PESSOAS', '16': '16 PESSOAS', '17': '17 PESSOAS', '18': '18 PESSOAS', '19': '19 PESSOAS', '20': '20 PESSOAS', '21': '21 PESSOAS', '22': '22 PESSOAS', '23': '23 PESSOAS', '24': '24 PESSOAS', '25': '25 PESSOAS', '26': '26 PESSOAS', '27': '27 PESSOAS', '28': '28 PESSOAS', '29': '29 PESSOAS', '30': '30 PESSOAS'}",TOTAL DE PESSOAS
V108,TOTAL DE 10 ANOS E MAIS,29,2,,,N,,25,,,"{'1': '1 PESSOA', '2': '2 PESSOAS', '3': '3 PESSOAS', '4': '4 PESSOAS', '5': '5 PESSOAS', '6': '6 PESSOAS', '7': '7 PESSOAS', '8': '8 PESSOAS', '9': '9 PESSOAS', '10': '10 PESSOAS', '11': '11 PESSOAS', '12': '12 PESSOAS', '13': '13 PESSOAS', '14': '14 PESSOAS', '15': '15 PESSOAS', '16': '16 PESSOAS', '17': '17 PESSOAS', '18': '18 PESSOAS', '19': '19 PESSOAS', '20': '20 PESSOAS', '21': '21 PESSOAS', '22': '22 PESSOAS', '23': '23 PESSOAS', '24': '24 PESSOAS'}",TOTAL DE 10 ANOS E MAIS
