key,value
1 GRAU,Sim
1º GRAU,Sim
2 GRAU,Sim
2º GRAU,Sim
ALF.ADULTOS,Sim
ALFABETIAÇÃO DE ADULTOS,Sim
ALFABETIZAÇÃO DE ADULTOS,Sim
C.A. OU PRE–ESCOLAR,Sim
CLASSE DE ALFABETIZAÇÃO OU PRÉ–ESCOLAR,Sim
ELEMENTAR,Sim
MEDIO – 1º CICLO,Sim
MEDIO – 2º CICLO,Sim
MEDIO 1º CICLO,Sim
MÉDIO 1º CICLO,Sim
MEDIO 2º CICLO,Sim
MÉDIO 2º CICLO,Sim
MEDIO PRIMEIRO CICLO,Sim
MEDIO SEGUNDO CICLO,Sim
MENOR DE 5 ANOS,Não
Não,Não
Não,Não
NÃO APLICAVEL,Não
NAO FREQUENTA,Não
NÃO FREQUENTA,Não
NÃO FREQUENTA ESCOLA,Não
NÃO HA GRAU,Não
NÃO HA SERIE,Não
PRE-ESCOLAR,Sim
PRÉ-ESCOLAR,Sim
PRE–ESCOLAR,Sim
PRÉ–ESCOLAR,Sim
PRIMEIRO GRAU,Sim
SEGUNDO GRAU,Sim
SEM DECLARAÇÃ,
SEM DECLARACAO,
Sem declaração,
SEM DECLARAÇÃO,
Sim,Sim
SUP. 1 GRAU/RTV,Sim
SUP.SEM ESPECIF,Sim
SUPERIOR,Sim
SUPERIOR SEM ESPECIFICAÇÃO,Sim
SUPLET. 1 GRAU,Sim
SUPLETIVO,Sim
SUPLETIVO – 1º GRAU,Sim
SUPLETIVO – 1º GRAU/RTV,Sim
SUPLETIVO 1º GRAU,Sim
SUPLETIVO 1º GRAU – RADIO OU TV,Sim
SUPLETIVO 1º GRAU RADIO/TV,Sim
SUPLETIVO 1º GRAU/RTV,Sim
SUPLETIVO 1º GRAU0,Sim
SUPLETIVO DE 1º GRAU (RADIO E TELEVISÃO),Sim
SUPLETIVO DE 1ºGRAU,Sim
SUPLETIVO SEM ESPECIFICAÇÃO,Sim
VESTIBULAR,Sim
