key,value
1 GRAU,EF
1º GRAU,EF
2 GRAU,EM
2º GRAU,EM
ALF.ADULTOS,NAO
ALFABETIAÇÃO DE ADULTOS,NAO
ALFABETIZAÇÃO DE ADULTOS,NAO
Alfabetização de adultos,NAO
Alfabetização de jovens e adultos,NAO
C.A. OU PRE–ESCOLAR,PE
Classe de alfabetização - CA ,PE
CLASSE DE ALFABETIZAÇÃO OU PRÉ–ESCOLAR,PE
Creche,NAO
Creche (disponível apenas no questionário anual de educação),NAO
Educação de jovens e adultos (EJA) do ensino fundamental,NAO
Educação de jovens e adultos (EJA) do ensino médio,NAO
Educação de jovens e adultos ou supletivo do ensino fundamental,NAO
Educação de jovens e adultos ou supletivo do ensino médio,NAO
ELEMENTAR,EF
"Maternal, jardim de infância etc.",PE
MEDIO – 1º CICLO,EF
MEDIO – 2º CICLO,EM
MEDIO 1º CICLO,EF
MÉDIO 1º CICLO,EF
MEDIO 2º CICLO,EM
MÉDIO 2º CICLO,EM
MEDIO PRIMEIRO CICLO,EF
MEDIO SEGUNDO CICLO,EM
MENOR DE 5 ANOS,NAO
NÃO APLICAVEL,NAO
NAO FREQUENTA,NAO
NÃO FREQUENTA,NAO
NÃO FREQUENTA ESCOLA,NAO
NÃO HA GRAU,NAO
NÃO HA SERIE,NAO
Pré-escola,PE
PRE-ESCOLAR,PE
Pré-escolar,PE
PRÉ-ESCOLAR,PE
Pré-vestibular,EM
PRE–ESCOLAR,PE
PRÉ–ESCOLAR,PE
PRIMEIRO GRAU,EF
Regular de 1º grau,EF
Regular de ensino fundamental ou 1º grau,EF
Regular de ensino fundamental ou 2º grau,EM
Regular de 2º grau,EM
Regular do ensino fundamental ,EF
Regular do ensino médio,EM
Regular do ensino médio ,EM
Pré-escolar ou creche,PE
SEGUNDO GRAU,EM
SEM DECLARAÇÃ,NAO
SEM DECLARACAO,NAO
Sem declaração,NAO
SEM DECLARAÇÃO,NAO
SUP. 1 GRAU/RTV,NAO
SUP.SEM ESPECIF,NAO
Superior,ES
SUPERIOR,ES
Superior - de graduação,ES
Superior - graduação,ES
SUPERIOR SEM ESPECIFICAÇÃO,ES
SUPLET. 1 GRAU,NAO
SUPLETIVO,NAO
SUPLETIVO – 1º GRAU,NAO
SUPLETIVO – 1º GRAU/RTV,NAO
SUPLETIVO 1º GRAU,NAO
SUPLETIVO 1º GRAU – RADIO OU TV,NAO
SUPLETIVO 1º GRAU RADIO/TV,NAO
SUPLETIVO 1º GRAU/RTV,NAO
SUPLETIVO 1º GRAU0,NAO
SUPLETIVO DE 1º GRAU (RADIO E TELEVISÃO),NAO
SUPLETIVO DE 1ºGRAU,NAO
Supletivo de ensino fundamental ou 1º grau,NAO
Supletivo de ensino médio ou 2º grau,NAO
SUPLETIVO SEM ESPECIFICAÇÃO,NAO
VESTIBULAR,EM
Mestrado ou doutorado,ES
