variavel,1976,1977,1978,1979,1981,1982,1984,1985,1986,1989,1990,2006,2015,2021
Peso,V2997,V187,V2997,V2999,V9991,V9991,V9991,V9991,V9971,V9971,V3091,V4729,V4729,V1028
Tipo de Registro,V91-2,,V2-2,V2-2,V100-3,V100-3,V100-3,V1000-3,V100-3,V100-3,V100-3,,,
Idade,V2105,V173,V2805,V2805,V805,V805,V805,V805,V805,V805,V805,V8005,V8005,V2009
Anos de Estudo,V310,V136,V2511,V2507,V318,V318,V318,V318,V318,V318,V318,V4703,V4803,VD3005
uf,V3,V2,V6,V10,V10,V10,V10,V10,V10,V10,V10,UF,UF,UF
Grau Escola,V2225,V36,V2214,V2214,V314,V314,V314,V314,V314,V314,V314,V0603,V6003,V3003A
Ultimo Grau Escola (nao frequenta),V2227,V38,V2216,V2216,V317,V317,V317,V317,V317,V317,V317,V0607,V6007,V3009A
Frequenta Escola,V2225,V36,V2214,V2214,V314,V314,V314,V314,V314,V314,V314,V0602,V0602,V3002
Sexo,V2103,V16,V2203,V2203,V303,V303,V303,V303,V303,V303,V303,V0302,V0302,V2007
Raça,,,,,,,,,V2201,V304,V304,V0404,V0404,V2010
Unidade primaria de amostragem,,,,,,,,,,,,,,UPA
Numero de selecao do domicilio,,,,,,,,,,,,,,V1008
